DATE,Federal Funds Rate,M2 Money Supply,Inflation (CPI),GDP Growth Rate,Unemployment Rate
1960-02-01,-0.005012531328320802,0.0006706908115359234,0.0013619339462036528,0.0,-0.07692307692307698
1960-03-01,-0.032745591939546737,0.0030160857908847483,0.0,0.0,0.12500000000000022
1960-04-01,0.02083333333333326,0.0026729034413632835,0.0044202652159128775,-1.2258064516129032,-0.03703703703703709
1960-05-01,-0.017857142857142794,0.002665778073975167,0.0010155721056195333,0.0,-0.019230769230769384
1960-06-01,-0.1376623376623377,0.004652708541043715,0.001352722353736846,0.0,0.05882352941176494
1960-07-01,-0.027108433734939763,0.005954349983460228,-0.0020263424518742745,-1.9523809523809523,0.01851851851851838
1960-08-01,-0.07739938080495357,0.009207497533705977,0.0020304568527917954,0.0,0.018181818181818077
1960-09-01,-0.12751677852348986,0.004887585532746819,0.0,0.0,-0.017857142857142794
1960-10-01,-0.04999999999999993,0.003566796368352776,0.004728132387706863,-3.5,0.10909090909090913
1960-11-01,-0.012145748987854366,0.004523424878836835,0.0010084033613446675,0.0,0.0
1960-12-01,-0.1885245901639344,0.004824702476680542,0.001007387508394908,0.0,0.08196721311475419
1961-01-01,-0.26767676767676774,0.00544174135723452,0.0010063737001007045,-1.54,0.0
1961-02-01,0.7517241379310347,0.0076408787010504575,0.0,0.0,0.045454545454545636
1961-03-01,-0.20472440944881887,0.005687203791469253,0.0,0.0,0.0
1961-04-01,-0.2623762376237624,0.005026704366949408,-0.00100536193029499,1.5925925925925926,0.014492753623188248
1961-05-01,0.32885906040268464,0.007189746795873697,0.0010063737001007045,0.0,0.014285714285714235
1961-06-01,-0.1262626262626263,0.006517690875232907,0.0,0.0,-0.028169014084506894
1961-07-01,-0.323699421965318,0.004008633980882026,0.002680965147453085,0.12857142857142856,0.014492753623188248
1961-08-01,0.7094017094017095,0.006142506142506221,0.0006684491978610207,0.0,-0.05714285714285716
1961-09-01,-0.06000000000000005,0.005799755799755779,0.0013360053440214514,0.0,0.015151515151515138
1961-10-01,0.2021276595744681,0.004855842185129022,0.0,0.025316455696202445,-0.02985074626865669
1961-11-01,0.15486725663716827,0.006946541830262554,0.0,0.0,-0.06153846153846154
1961-12-01,-0.10727969348658994,0.006298740251949653,0.0010006671114075605,0.0,-0.016393442622950727
1962-01-01,-0.07725321888412029,0.005961251862891315,0.0009996667777407708,-0.09876543209876543,-0.033333333333333326
1962-02-01,0.10232558139534897,0.007703703703703768,0.0023302263648468102,0.0,-0.051724137931034475
1962-03-01,0.20253164556962022,0.008820935019111964,0.0019926934573231136,0.0,0.018181818181818077
1962-04-01,-0.024561403508772006,0.006995045176333425,0.0013258203513424327,-0.4931506849315068,0.0
1962-05-01,-0.15107913669064743,0.005788712011577379,0.0009930486593843213,0.0,-0.017857142857142794
1962-06-01,0.13559322033898313,0.005179856115107961,-0.0009920634920633775,0.0,0.0
1962-07-01,0.011194029850746245,0.004294302891497237,0.00033101621979469975,0.3513513513513513,-0.018181818181818077
1962-08-01,0.08118081180811809,0.005701254275940704,0.0019854401058903015,0.0,0.05555555555555558
1962-09-01,-0.010238907849829393,0.005952380952380931,0.004623513870541718,0.0,-0.01754385964912286
1962-10-01,0.0,0.006480698788391193,-0.0013149243918475495,-0.74,-0.03571428571428559
1962-11-01,0.01379310344827589,0.007278835386338223,0.0,0.0,0.05555555555555558
1962-12-01,-0.00340136054421758,0.008060033351862117,0.0,0.0,-0.03508771929824561
1963-01-01,-0.0034129692832765013,0.006892748828232653,0.0019749835418039208,2.3846153846153846,0.036363636363636376
1963-02-01,0.027397260273972712,0.007393209200438067,0.0013140604467805073,0.0,0.03508771929824572
1963-03-01,-0.00666666666666671,0.007610763794509312,0.0009842519685039353,0.0,-0.03389830508474578
1963-04-01,-0.02684563758389269,0.007013757755597538,-0.000983284169124965,0.04545454545454519,0.0
1963-05-01,0.034482758620689724,0.007500669702652063,0.0009842519685039353,0.0,0.03508771929824572
1963-06-01,-0.0033333333333332993,0.00611539484179735,0.0032776138970829205,0.0,-0.05084745762711873
1963-07-01,0.010033444816053505,0.007135306553911258,0.002613524991832872,0.9782608695652175,0.0
1963-08-01,0.1556291390728477,0.006559958016268741,0.0019550342130987275,0.0,-0.03571428571428559
1963-09-01,-0.002865329512894088,0.006256517205422307,-0.0009756097560975618,0.0,0.01851851851851838
1963-10-01,0.005747126436781658,0.0059585492227980374,0.0009765625,-0.7142857142857142,0.0
1963-11-01,-0.005714285714285672,0.008241050733968525,0.0009756097560975618,0.0,0.036363636363636376
1963-12-01,-0.028735632183908066,0.004342273307790467,0.0032488628979856493,0.0,-0.03508771929824561
1964-01-01,0.029585798816567976,0.0050864699898269805,0.0019430051813471572,2.346153846153846,0.018181818181818077
1964-02-01,0.0,0.006072874493927127,-0.0009696186166774368,0.0,-0.03571428571428559
1964-03-01,-0.014367816091953922,0.005533199195171035,0.0009705596894209467,0.0,0.0
1964-04-01,0.011661807580174877,0.0047523761880940985,0.0003232062055591456,-0.49425287356321834,-0.0185185185185186
1964-05-01,0.008645533141210304,0.006223549912870219,0.0009693053311794486,0.0,-0.037735849056603765
1964-06-01,0.0,0.007174666006927399,0.0009683666881858954,0.0,0.019607843137255054
1964-07-01,-0.02285714285714291,0.00736919675755332,0.00032247662044504466,0.4545454545454546,-0.05769230769230771
1964-08-01,0.023391812865497075,0.008046817849304944,0.0009671179883945502,0.0,0.020408163265306145
1964-09-01,-0.014285714285714235,0.00846637639090475,0.0009661835748790981,0.0,0.020000000000000018
